公司名稱,產業類別,聯絡人,產業描述,電話,資本額,傳真,員工人數,地址,公司網址,官方,地址相同,資本額誤差
吳孟輯皮膚科診所,診所,吳先生,診所,06-2826655,200萬元,暫不提供,2人,臺南市安南區安和路一段80號,,,,
上億通訊行,其他電信及通訊相關業,暫不提供,其他電信及通訊相關業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
昱光能源股份有限公司,熱能供應業,柳小姐,再生能源產業,暫不提供,3250萬元,暫不提供,8人,臺南市永康區永大路二段,,,,
阿賢工程有限公司,其他營造業,蔡先生,其他營造業,暫不提供,100萬元,暫不提供,5人,臺南市東區小東里東興路298號1樓,https://m.facebook.com/AXianShiYe,,,
揚霖開發有限公司,其他營造業,暫不提供,建築工程,暫不提供,暫不提供,暫不提供,5人,暫不提供,,,,
住商不動產台南永康加盟店_龍禹房屋仲介有限公司,不動產經營業,暫不提供,不動產相關業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,http://www.hbhousing.com.tw/web/D001/,,,
牛五蔵餐飲有限公司,餐館業,童小姐,餐廳／餐館,06-2970100,暫不提供,暫不提供,28人,臺南市安平區建平路577號,http://www.facebook.com/gyugozou/,,,
金制眼鏡大灣店_真光眼鏡,鐘錶╱眼鏡零售業,暫不提供,鐘錶╱眼鏡零售業,暫不提供,100萬元,暫不提供,暫不提供,暫不提供,https://zh-tw.facebook.com/jinzhieyewear/,,,
鉅惠企業股份有限公司,塑膠製品製造業,王先生,汽車零配件，汽車輪圈蓋，國際貿易,06-3661166,1500萬元,06-3660611,60人,臺南市仁德區保安工業區開發三路13號,,,,
鴻盛機械有限公司,其他機械製造修配業,王小姐,其他機械製造修配業,06-5890605,暫不提供,06-5890593,暫不提供,臺南市新市區大營里326之26號,,,,
蕭嘉蓉皮膚科專科診所,診所,暫不提供,診所,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
九穗聯合建築師事務所,建築設計業,吳先生,建築設計業,06-3116377,200萬元,06-3126377,20人,臺南市東區小東路679號6樓,,,,
友鋮股份有限公司,機械器具批發業,鄭小姐,螺絲螺帽進出口貿易商，螺帽製造商,暫不提供,1億8000萬元,暫不提供,100人,臺南市東區東門路一段358號3樓,http://www.spec.com.tw,,,
斑迪美式餐廳_斑福餐飲,餐館業,暫不提供,餐館業,暫不提供,200萬元,暫不提供,暫不提供,暫不提供,,,,
升鼎商行,餐館業,尤小姐,承包科技廠、公司團膳,09-81150632,3000萬元,06-5817367,暫不提供,臺南市善化區樹谷園區興農路568-1號,,,,
恩成機械有限公司,電力機械器材製造修配業,謝先生,工具機、精密儀器及光學尺專業代理,06-2566636,500萬元,06-2561256,暫不提供,臺南市安南區海東一街105號,http://www.enchen.com.tw,,,
有鈞科技有限公司,管線／管道工程相關業,林先生,管線╱管道工程相關業,0933-038202,暫不提供,暫不提供,暫不提供,臺南市麻豆區民權路66之69號,,,,
百鋼金屬工業股份有限公司,其他商品批發業,吳小姐,其他商品批發業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市安南區公學路二段220巷189號,,,,
瀚揚文創有限公司,其他教育服務業,暫不提供,其他教育服務業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
艸祭民宿,其他住宿服務業,莊小姐,民宿經營/青旅型態,06-2222909,暫不提供,06-2220169,10人,臺南市中西區永華里南門路71號1樓,http://www.caoji.com.tw/,,,
合漢企業社,汽車及其零件製造業,趙先生,汽車及其零件製造業(模具製造),06-3551726,暫不提供,06-3564496,暫不提供,臺南市安南區安和路三段190巷75號之22(1樓),,,,
定承創意有限公司,廣告行銷公關業,李小姐,網路社群交友服務,暫不提供,500萬元,暫不提供,20人,臺南市南區健康路二段114號3樓,,,,
兔子創意股份有限公司,多媒體相關業,楊小姐,多媒體相關業,06-3506923,暫不提供,06-3506753,暫不提供,臺南市中西區頂美一街70巷2號,,,,
統上開發建設股份有限公司,其他營造業,林小姐,其他營造業,06-2546028,3億4020萬元,06-2546030,15人,臺南市永康區永安路165巷155號,https://tongshang.com.tw/,,,
統亞電子科技股份有限公司,汽車及其零件製造業,饒小姐,汽機車碼錶及動力改裝零件製造,暫不提供,1億,06-2459493,暫不提供,臺南市安南區頂安街406號,http://www.koso.com.tw/,,,
安達營造有限公司,其他營造業,丁小姐,營造業,06-3038299,1227萬元,暫不提供,16人,臺南市永康區大橋一街103巷43號1樓,,,,
柏州企業股份有限公司,其他金屬相關製造業,暫不提供,金屬原料及金屬加工業,暫不提供,1000萬元,暫不提供,20人,暫不提供,,,,
楷懿人力仲介有限公司,人力仲介代徵,暫不提供,人力仲介/廠工/營造工/看護工/畜牧工/農務工/漁工申請,暫不提供,暫不提供,暫不提供,10人,暫不提供,https://kaiyi-vip.com.tw/,,,
