編號,公司名稱,公司位置,產業類別
9975389,福大食品有限公司,台南市安南區工明路175號,食品製造╱加工
73087640,?酩安全工程有限公司,[南部科學園區]台南市新市區陽光南一路2巷70號1樓,環境衛生╱污染防治相關
69016507,清功電器有限公司,台南市東區崇善路241號,家庭電器╱設備用品零售
73212767,Cook Sofa 庫克沙發,台南市永康區中華路1012之1號,建材╱傢俱零售業
72389739,岱金精密企業社,台南市南區同興路245巷32號,機械器具批發
152732,惠光股份有限公司,台南市麻豆區麻佳路一段259號,其他化學相關製造
73183124,全國不動產,台南市南區廣州里福吉五街48號1樓,不動產經營╱開發
72528568,誠益自貿通運股份有限公司,台南市安平區新港路二段7號,國際貿易
68831269,臺南市私立宏遠文理短期補習班,,補習班
71730822,鴻碁自動控制有限公司,台南市永康區忠義街58號,自動控制相關
73533908,太子物業管理顧問股份有限公司,台南市永康區中正南路30號17樓,保全樓管相關
69147170,華倫食品行,台南市永康區大同街671號,食品製造╱加工
71965028,澄品自動化股份有限公司,台南市安定區海寮25之32號,專用生產機械製造修配
36058628,日東昇建設興業有限公司,台南市北區北成路381號,土木工程
73091564,臺南市私立現代法政短期補習班,台南市中西區民族路二段76-10號6樓之4,補習班
73502732,成創永續股份有限公司,台南市東區大學路1號自強校區科技大樓4樓A07室,工商顧問服務
73539316,鴨董鴨肉飯_裕農店(籌備中),台南市東區裕農路793號,餐廳╱餐館
50675095,沛科精密股份有限公司,[南部科學園區]台南市新市區南科三路11號1樓,半導體製造
51473350,岳盟企業股份有限公司,台南市永康區中山北路264巷55弄11號,機車╱零件製造
52095009,成榕顏料科技股份有限公司,台南市新化區中正路1075號,塑膠製品製造
73156310,AI家教,台南市東區東安路192號,其他教育服務業
50500043,誠濠實業有限公司,,其他金屬相關製造
73542798,品淨水電,台南市新營區興農街92號,管線╱管道工程相關
69358662,萊爾富(俊佳商行),台南市佳里區六安117之46號,百貨相關
9996133,亞洲印刷_亞洲自黏商標有限公司,台南市仁德區勝利路140號,印刷
50947248,貴族世家牛排館,台南市新營區復興路416號,餐廳╱餐館
69039204,馬尼行動通訊,台南市北區文賢路1094號1樓,電子通訊╱電腦週邊零售業
73162882,安寶產後護理之家,台南市北區長榮路四段170號,護理之家／安養中心／長照
