編號,公司名稱,公司位置,產業類別
73570308,蹦彩有限公司,台北市大安區市民大道四段100號3樓,休閒服務
69453670,詠昊人身保險代理人股份有限公司,台北市松山區南京東路四段25號10樓之1,人身保險
1220037,中華電視股份有限公司,台北市大安區光復南路100號,廣電視節目供應
67003800,秀蘭美食文化有限公司,台北市大安區信義路二段198巷5之5號1樓,餐廳╱餐館
69439188,大於展覽設計有限公司,台北市信義區松德路36號3樓,專門設計相關
73075027,敦力診所,台北市大安區敦化南路二段164號2樓,診所
1288167,香港商鐠極有限公司台灣分公司,台北市士林區中山北路六段197號5樓,國際貿易
9527600,統一佳佳股份有限公司,台北市內湖區內湖路一段120巷15弄25號4樓,運動服務
33946738,費思特國際美容有限公司,台北市信義區忠孝東路五段524巷3弄13號1樓,美容╱美體相關
69494558,聯發營造有限公司,台北市大同區市民大道一段211號14樓之20,建築工程
71954508,台北南亞記帳士事務所,台北市大安區新生南路三段20之1號9樓,會計服務
51742400,兄妹美食館,台北市中山區錦州街325號,餐廳╱餐館
69438750,時時股份有限公司,台北市中山區林森北路107巷32號1樓,餐廳╱餐館
73152270,祭祀公業法人臺北市陳悅記,台北市大同區延平北路四段231號,其他組織
35945028,典華雅聚 / 豐FOOD百匯,台北市中山區植福路8號,餐廳╱餐館
73526987,睿誼寵物有限公司,台北市松山區健康路239號,寵物相關服務
71716379,阿牛犬貓急診醫院,台北市士林區基河路238號,動物醫院
50832709,詔安建設股份有限公司,台北市中山區正得里長安東路一段15號8樓,不動產經營╱開發
73123991,迪茶飲料店,台北市大同區迪化街一段10號,飲料店
54602479,春越營造股份有限公司,台北市中山區中山北路二段126之3號9樓,建築工程
535110,世欣工程有限公司,台北市松山區寧安街5巷8號1樓,空調╱水機電工程
69443768,單元家具有限公司,台北市松山區八德路四段36巷50號1樓,專門設計相關
51735357,仁友興業有限公司,台北市大安區信義路四段341號6之2樓,生化科技研發
72458849,鼎安能源股份有限公司,台北市中山區新生北路一段31號1樓,石油╱天然氣╱地熱礦
71715508,交廣工程顧問有限公司,台北市大安區忠孝東路三段52號2樓,建築工程
68790810,晴翼國際有限公司,台北市大安區大安路一段31巷21號B2,藥品╱化妝品╱清潔用品批發
9912569,特群機電股份有限公司,台北市南港區忠孝東路六段21號10樓,空調╱水機電工程
73189469,巨星文教機構,台北市文山區秀明路一段66號1樓,學前教育事業
71710720,瑞磁生物科技集團,台北市內湖區行忠路28巷1號6樓,醫療器材製造
2786261,德利泰興業有限公司,台北市大同區甘谷街26號1樓,國際貿易
35980701,創越國際設計有限公司,台北市南港區忠孝東路6段78號3樓,專門設計相關
50816502,香港商瑞喜國際股份有限公司,台北市中山區復興北路184號5樓,國際貿易
8229,元利建設企業股份有限公司,台北市中山區敬業四路33號14樓,土木工程
9591170,彩繪旅行社股份有限公司,台北市中山區南京東路三段26號5樓,旅遊服務
68643997,丞室國際室內裝修工程有限公司,台北市文山區忠順街1段6號1樓,室內設計
50960219,威爾森通運股份有限公司,台北市中山區建國北路一段96號6樓,船務代理
36088708,喬信公寓大廈管理維護有限公司(總公司),台北市內湖區新湖二路339號5樓,保全樓管相關
67040580,豐華美學有限公司,台北市中山區松江路185號11樓之6,美容╱美體相關
33940347,新意向實業有限公司,台北市文山區萬隆街62巷2之1號1樓,建物裝修╱裝潢
69432017,GAP 美商服飾,台北市信義區松仁路97號12樓之2,鞋類╱布類╱服飾品零售
71730191,鴻䕒國際有限公司,,農╱畜╱水產品批發
50010058,長榮物流股份有限公司,台北市中山區民生東路二段170號5樓,儲配╱運輸物流
72460390,森棚國際有限公司,台北市中山區民生東路二段161號6樓,其他金融╱輔助
50578077,台北市私立永進文理短期補習班,台北市北投區明德路65號1樓,補習班
9597118,振皓工程顧問股份有限公司,台北市大安區光復南路268號5樓之2,建築工程
1375059,德里國際有限公司,台北市文山區一壽街56號B1 (景美女中對面),國際貿易
69189517,大和家拉麵(台灣達達有限公司),台北市大安區市民大道四段12號1樓,餐廳╱餐館
51630129,建成環保清潔服務社,,環境衛生╱污染防治相關
291050,宏易創新國際股份有限公司,台北市中山區復興北路58號3樓,餐廳╱餐館
71713518,創源建設開發股份有限公司.,台北市松山區基隆路一段10號7樓,不動產經營╱開發
69591257,茂杰貿易有限公司,台北市大同區重慶北路三段243巷5號,其他化學相關製造
75127310,商英國際顧問有限公司,台北市信義區基隆路二段7號5樓之1,工商顧問服務
2785009,亞欣實業股份有限公司,台北市南港區重陽路275號4樓,電力機械器材製造修配
69613470,十五點股份有限公司,台北市士林區福德路57巷25弄3號,餐廳╱餐館
51580627,大自然世界社區管理委員會,台北市北投區行義路186巷17號,保全樓管相關
54320737,安以德國際通運股份有限公司,台北市松山區民生東路三段131號8樓801室,貨運承攬
10395760,合聯化學股份有限公司,台北市中山區建國北路二段33號6樓之1,其他化學相關製造
71304487,友量娛樂科技股份有限公司,,廣電視節目供應
1901750,藝珂人事顧問股份有限公司,台北市信義區忠孝東路五段68號10樓B區,人力派遣╱人力供應
73556918,暐虹數位有限公司,台北市大同區敦煌路68號1樓,專門設計相關
73567578,真正香小吃店,台北市南港區南港路二段20巷17號,餐廳╱餐館
73083620,和申田有限公司,台北市內湖區江南街71巷16弄7號,食品什貨批發
73568259,云誠實業有限公司,台北市大安區安和路二段217巷4號,家庭電器╱設備用品批發
3220021,拓堡科技有限公司,台北市文山區木新路三段278巷11號4樓,精密儀器相關製造
410000,統一綜合證券股份有限公司-總公司 (統一證券),台北市松山區東興路8號13樓,銀行
73556138,給力盒子(民生店、松菸店、世貿店) / 瑞哥雞肉飯,台北市信義區吳興街17號,餐廳╱餐館
50742757,品約股份有限公司,"[內湖科技園區]                                                            
                                                        台北市內湖區民權東路六段15巷16號3樓之1",醫療器材批發
49456980,臺北市私立恩貝亞幼兒園,台北市內湖區金湖路一段179號1樓,學前教育事業
69420780,摩德士國際有限公司,台北市萬華區西園路二段338號,汽機車及相關用品零售
34431637,新加坡商施維雅股份有限公司台灣分公司,台北市中山區松江路168號3樓,生化科技研發
73539447,辣二爺麻辣火鍋店 / 老胖東北串燒店 / 小胖東北串燒店 / 東道煮麻辣火鍋店,台北市中山區錦州街46號9樓之5,餐廳╱餐館
72559499,臺北市私立拉斐爾微笑托嬰中心,台北市南港區興中路68巷6號2樓之1,學前教育事業
72563810,好人設計有限公司,台北市信義區光復南路415巷46號1樓,室內設計
71713537,珈莉服飾店,台北市南港區中坡北路60巷18號1樓,鞋類╱布類╱服飾品批發
71977898,愛志旺股份有限公司,台北市南港區重陽路120號3樓309室(中視大樓),其他醫療保健相關
2786598,台灣大創百貨股份有限公司,台北市中正區館前路49號4樓,百貨相關
9596221,台北市私立教育家文理短期補習班,台北市中正區博愛路70號3樓/博愛路53號6樓,補習班
71058238,磐頤機構,台北市中山區長安東路二段31號7樓之4,建物裝修╱裝潢
72429377,沐陞有限公司,台北市大安區光復南路290巷66號,餐廳╱餐館
70699471,森之國際設計事業有限公司,,專門設計相關
9627038,城美行旅(金瑞城有限公司),台北市中正區漢口街一段88號,飯店╱旅館
73499071,Hala Chicken_芽蜜商行,台北市內湖區內湖路一段437巷4弄3號,餐廳╱餐館
51563647,大龍蝦海鮮餐廳,台北市中山區吉林路45號,餐廳╱餐館
9596379,李浩原建築師事務所,https://www.facebook.com/lee28architects/,建築設計
69441138,醬太郎國際有限公司,台北市中山區中山北路二段6號2~3樓,餐廳╱餐館
69400670,十方廣華聯合會計師事務所,台北市中山區南京東路二段137號14樓之1,會計服務
72519841,全能養生科技集團,台北市中正區羅斯福路三段100號8樓之8,生化科技研發
536159,晃誼科技股份有限公司,台北市信義區基隆路二段51號17樓之2,半導體製造
73082649,健嘉中醫診所,台北市北投區東華街二段218號,診所
69588891,財團法人台北市私立非拉鐵非兒少之家,台北市士林區愛富二街7號,社會福利機構
35772747,內江賓舘,台北市萬華區西寧南路112號,飯店╱旅館
71692941,宇澔股份有限公司,台北市信義區信義路五段100號9樓,其他投資理財相關
51688820,喬麗美髮集團  J & ONE  MAN 男の造型館,台北市大安區忠孝東路三段251巷2弄3號1樓,美髮相關
72531210,臺北市政府社會局委託社團法人臺北市嬰幼兒適性發展協會辦理臺北市萬華托嬰中心,台北市萬華區成都路98號,學前教育事業
130730,開駿實業有限公司,台北市中山區建國北路二段258巷19號,電腦╱週邊設備製造
73083968,愛迪樂有限公司,台北市中山區民生東路二段127巷19號,其他醫療保健相關
10396300,總行營造興業股份有限公司,台北市士林區中山北路五段518號10樓,建築工程
70700550,韓庭州韓式料理,台北市大安區溫州街87號,餐廳╱餐館
50768597,人間福報社股份有限公司,台北市信義區松隆路327號5樓,多媒體相關
407407,翔韻音響,台北市中正區延平南路62號,百貨相關
125529,展佑自動化機械有限公司,台北市中山區長安東路二段82號3樓,專用生產機械製造修配
435581,台灣是德科技股份有限公司,,光電相關
48882969,安德聯合診所,台北市松山區八德路三段34號4樓,診所
3228817,京波企業股份有限公司,台北市信義區基隆路二段77號11樓,空調╱水機電工程
